"pid","title","permalink","object_ids","reference_collection","order","layout"
"rome-1606-1611-elements","Rome 1606-1611 Elements","/janbrueghel/series/rome-1606-1611-elements","2904|2911|2918|2937","janbrueghel",,"series_janbrueghel"
"the-seasons","The Seasons","/janbrueghel/series/the-seasons","2907|2926|2928|2938","janbrueghel",,"series_janbrueghel"
"1601-1611-elements","1601-1611 Elements","/janbrueghel/series/1601-1611-elements","2915|3792|3795|3797","janbrueghel",,"series_janbrueghel"
"1608-1621-elements","1608-1621 Elements","/janbrueghel/series/1608-1621-elements","2919|2936|3089|3924","janbrueghel",,"series_janbrueghel"
"five-senses-pendants","Five Senses Pendants","/janbrueghel/series/five-senses-pendants","2924|2929","janbrueghel",,"series_janbrueghel"
"infanta-isabella-and-archduke-albert","Infanta Isabella and Archduke Albert","/janbrueghel/series/infanta-isabella-and-archduke-albert","2951|3287","janbrueghel",,"series_janbrueghel"
"allegories-of-the-seasons","Allegories of the Seasons","/janbrueghel/series/allegories-of-the-seasons","3048|3487|3528|3627","janbrueghel",,"series_janbrueghel"
"madrid-village-scenes","Madrid Village Scenes","/janbrueghel/series/madrid-village-scenes","3255|3357","janbrueghel",,"series_janbrueghel"
"madrid-peasant-scenes","Madrid Peasant Scenes","/janbrueghel/series/madrid-peasant-scenes","3430|3434","janbrueghel",,"series_janbrueghel"
"madrid-peasant-weddings","Madrid Peasant Weddings","/janbrueghel/series/madrid-peasant-weddings","3433|3734","janbrueghel",,"series_janbrueghel"
"lyon-1606-1611-elements","Lyon 1606-1611 Elements","/janbrueghel/series/lyon-1606-1611-elements","3793|3794|3796|3798","janbrueghel",,"series_janbrueghel"
"the-five-senses","The Five Senses","/janbrueghel/series/the-five-senses","3858|3859|3860|3861|3862","janbrueghel",,"series_janbrueghel"
"hollstein-651-654","Hollstein 651-654","/janbrueghel/series/hollstein-651-654","9564|9565|9566","janbrueghel",,"series_janbrueghel"
"rosenborg","Rosenborg","/janbrueghel/series/rosenborg","10197|10198|10203","janbrueghel",,"series_janbrueghel"
"night-lake","Night Lake","/janbrueghel/series/night-lake","10215|10216","janbrueghel",,"series_janbrueghel"
"grotto","Grotto","/janbrueghel/series/grotto","10223|10224|10225|10226","janbrueghel",,"series_janbrueghel"
"proverbs-series","Proverbs Series","/janbrueghel/series/proverbs-series",18481,"janbrueghel",,"series_janbrueghel"
